SET
BEGIN
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
COPY 966
COPY 20
COPY 7536
COPY 2449
COPY 206
COPY 362
INSERT 0 932
INSERT 0 20
INSERT 0 965
INSERT 0 7370
INSERT 0 2098
INSERT 0 162
INSERT 0 288
INSERT 0 1459
 formato_edicion | ano_edicion |  pais_edicion  | ano_publicacion_disco |                                   titulo_disco                                    | nombre_usuario  | estado 
 Vinyl           | 2006        | UK             | 2006                  | Square Hole                                                                       | carlosfernández | EX
 CD              | 2005        | US             | 1984                  | Eden's Fire                                                                       | carlosfernández | F
 Vinyl           | 2000        | US             | 2000                  | Big Picture                                                                       | carlosfernández | VG
 CD              | 2002        | Worldwide      | 1996                  | Cypher                                                                            | carlosfernández | VG
 Vinyl           | 1981        | US             | 1981                  | Rock N Roll                                                                       | carlosfernández | VG+
 Vinyl           | 2019        | US             | 1972                  | Home                                                                              | carlosfernández | M
 Vinyl           | 2014        | Unknown        | 2014                  | Album                                                                             | carlosfernández | G
 CD              | 2010        | US             | 2010                  | For The Rest Of Us                                                                | carlosfernández | VG+
 Vinyl           | 1997        | UK             | 1997                  | Sweet Thang                                                                       | carlosfernández | G
(288 rows)

ROLLBACK
